Candidate,Label,Family,Horizon,Cells,Calls,Coverage,Independent cutoffs,Accuracy,CI low,CI high,Baseline accuracy,Advantage,Adv CI low,Adv CI high,p,BUY-SELL bp,Resolved,Reference,Family size,p Holm,Holm reject,Beats baseline,Verdict
reference.always_buy,Always BUY,reference,1d,1995,1995,1.0,88,0.5112781954887218,0.4893422709882793,0.5331707685642295,0.5112781954887218,0.0,0.0,0.0,1.0,,True,True,81,,False,False,REFERENCE
technical.trend_ma,EMA 12/48 spread,technical,1d,1995,1995,1.0,88,0.5172932330827068,0.4953532711241748,0.5391667228563388,0.5112781954887218,-0.002791950309242793,-0.06667436032758413,0.05772481512229536,0.9317068293170683,24.339482757797654,True,False,81,1.0,False,False,REJECT
technical.trend_slope,EMA 50 slope,technical,1d,1995,1995,1.0,88,0.5152882205513785,0.4933492521583236,0.5371684236795218,0.5112781954887218,-0.003246514684261724,-0.06745700795416702,0.04984790489484163,0.9193080691930807,14.652093036794026,True,False,81,1.0,False,False,REJECT
reference.incumbent,Ultimate consensus,reference,1d,1995,373,0.18696741854636592,88,0.5844504021447721,0.5338241650326063,0.6333548300677223,0.5871313672922251,-0.004022366522366525,-0.06428188131313131,0.05790978986291487,0.8995100489951005,23.917667863090013,True,True,81,,False,False,REFERENCE
neural.lstm,LSTM projection,neural,1d,1995,1995,1.0,88,0.5072681704260652,0.48533669811265345,0.5291717051545191,0.5112781954887218,-0.005397839972938786,-0.06542973516108395,0.04636008758204904,0.8500149985001499,0.8247207940649949,True,False,81,1.0,False,False,REJECT
pine.mavilim,MavilimW,pine,1d,1995,1995,1.0,88,0.5117794486215539,0.4898430666026072,0.5336705524855688,0.5112781954887218,-0.006129540749105963,-0.06934651074386745,0.04578439881923082,0.839016098390161,17.083362123051344,True,False,81,1.0,False,False,REJECT
neural.gru,GRU projection,neural,1d,1995,1995,1.0,88,0.512781954887218,0.49084472385017924,0.5346700543093307,0.5112781954887218,-0.006783235703690254,-0.07039233020767112,0.054721675105197785,0.8342165783421658,5.887063660954165,True,False,81,1.0,False,False,REJECT
pine.squeeze,Squeeze Momentum,pine,1d,1995,1995,1.0,88,0.5137844611528822,0.4918464691339078,0.5356694680969364,0.5112781954887218,-0.008405602138309647,-0.07147522201530353,0.04642692508002532,0.7804219578042195,18.02072755771383,True,False,81,1.0,False,False,REJECT
technical.obv,Volume trend,technical,1d,1995,1995,1.0,88,0.5102756892230577,0.48834074577092107,0.5321711347102537,0.5112781954887218,-0.009473922816314121,-0.07530299593769209,0.05134259829844067,0.778022197780222,8.384547986182154,True,False,81,1.0,False,False,REJECT
pine.supertrend,Supertrend,pine,1d,1995,1995,1.0,88,0.5072681704260652,0.48533669811265345,0.5291717051545191,0.5112781954887218,-0.014094172461267316,-0.07811593803923349,0.04756738078291931,0.6614338566143385,24.576566036270844,True,False,81,1.0,False,False,REJECT
rule.moving_average_crossover,Moving average crossover,rule,1d,1995,1995,1.0,88,0.506265664160401,0.4843355248602646,0.5281717193355737,0.5112781954887218,-0.015375012010387502,-0.0790567474357,0.050076268099489375,0.648035196480352,23.119601261228738,True,False,81,1.0,False,False,REJECT
technical.adx,ADX direction,technical,1d,1995,1258,0.6305764411027569,88,0.49205087440381556,0.46449033277156004,0.5196598172948192,0.5,-0.02216651509590575,-0.10758352889907649,0.05657930817540643,0.5953404659534046,24.666990956529588,True,False,81,1.0,False,False,REJECT
technical.donchian,Donchian position,technical,1d,1995,1994,0.9994987468671679,88,0.49949849548645936,0.47757417055933443,0.5214247490747347,0.5115346038114343,-0.02218325975737043,-0.09244537198637989,0.043404832733143,0.5386461353864613,13.603159771157687,True,False,81,1.0,False,False,REJECT
technical.rsi,RSI 14,technical,1d,1995,1995,1.0,88,0.4982456140350877,0.476329305408957,0.5201686662162084,0.5112781954887218,-0.024010542323289363,-0.09737862055599206,0.04468421875802063,0.5187481251874813,17.916611399865577,True,False,81,1.0,False,False,REJECT
rl.policy_gradient,Policy gradient,rl,1d,1938,1926,0.9938080495356038,88,0.4979231568016615,0.47561924639610187,0.5202353356587155,0.5176531671858775,-0.02772424545151818,-0.09951589225168771,0.03963462295280475,0.43915608439156084,0.5445926770279328,True,False,81,1.0,False,False,REJECT
rule.signal_rolling,Signal rolling,rule,1d,1995,1995,1.0,88,0.4907268170426065,0.46882858714940107,0.5126606914407584,0.5112781954887218,-0.028555133930627998,-0.09202216155057062,0.028995323064616534,0.3574642535746425,-19.93367991861032,True,False,81,1.0,False,False,REJECT
pine.hl_ott,HL Optimized Trend Tracker,pine,1d,1995,1995,1.0,88,0.48721804511278194,0.4653299456906693,0.5091552761498208,0.5112781954887218,-0.03329213276841735,-0.09915224831986194,0.03499438629552262,0.3350664933506649,7.4899436413091935,True,False,81,1.0,False,False,REJECT
technical.bollinger,Bollinger reversion,technical,1d,1995,1995,1.0,88,0.4807017543859649,0.45883533039903746,0.5026423574777809,0.5112781954887218,-0.03616262443090507,-0.10743317568465789,0.030370632434923425,0.3020697930206979,-32.256854834576636,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution__novelty_search,Neuro-evolution (novelty search),rl,1d,1938,1931,0.9963880288957688,88,0.4847229414810979,0.46248426146411603,0.5070222862553458,0.5178663904712584,-0.037201343977659763,-0.11186108701240279,0.03329438762991392,0.32426757324267574,3.255465998308006,True,False,81,1.0,False,False,REJECT
technical.roc,20-bar return,technical,1d,1995,1990,0.9974937343358395,88,0.4814070351758794,0.45951072685449745,0.5033749908474503,0.5115577889447236,-0.03960945099037985,-0.10642193791057425,0.018601268194091806,0.22137786221377861,9.362695332881875,True,False,81,1.0,False,False,REJECT
pine.vix_fix,Williams Vix Fix,pine,1d,1995,1995,1.0,88,0.48220551378446114,0.4603337574112215,0.504145669072598,0.5112781954887218,-0.040074623169978896,-0.13220936548629236,0.040294378546354814,0.36526347365263473,-1.7968998229506778,True,False,81,1.0,False,False,REJECT
technical.structure,Market structure,technical,1d,1995,1822,0.9132832080200501,88,0.48792535675082327,0.465022659272164,0.5108788647154591,0.5170142700329309,-0.040173381106426057,-0.10319569447422802,0.016427360392710397,0.19318068193180682,-8.669547884821318,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution,Neuro-evolution,rl,1d,1938,1930,0.9958720330237358,88,0.48393782383419687,0.46169605717826234,0.506243405909097,0.5186528497409326,-0.04115282110937191,-0.10601164507840644,0.022336385762187817,0.2091790820917908,-5.060909798163141,True,False,81,1.0,False,False,REJECT
rule.turtle,Turtle,rule,1d,1995,1995,1.0,88,0.4781954887218045,0.4563383928139241,0.500136397384559,0.5112781954887218,-0.04318987748088539,-0.1187500709517755,0.03071985215871085,0.2638736126387361,-14.269611978522693,True,False,81,1.0,False,False,REJECT
technical.macd,MACD histogram,technical,1d,1995,1995,1.0,88,0.4756892230576441,0.4538420064882405,0.4976298860319072,0.5112781954887218,-0.04540628673039742,-0.11464807606754245,0.02415865808269464,0.20907909209079092,14.662489327221405,True,False,81,1.0,False,False,REJECT
rl.evolution_strategy,Evolution strategy,rl,1d,1938,1860,0.9597523219814241,88,0.4860215053763441,0.46335939496741313,0.508741238476974,0.5193548387096775,-0.04954040054206479,-0.12210562146851019,0.01784063935293263,0.15698430156984303,-19.09959865596204,True,False,81,1.0,False,False,REJECT
neural.vanilla_rnn,Vanilla RNN projection,neural,1d,1995,1995,1.0,88,0.46466165413533833,0.4428644662198269,0.4865946765156456,0.5112781954887218,-0.05359653439445931,-0.12993316287220683,0.012676186256102255,0.14958504149585042,-23.266539277165144,True,False,81,1.0,False,False,REJECT
pine.leledc,Leledc exhaustion levels,pine,1d,1995,1995,1.0,88,0.4631578947368421,0.4413683586155224,0.4850890455129489,0.5112781954887218,-0.05565061832107287,-0.13902984278978592,0.019195352942512036,0.17268273172682733,-20.16182928218706,True,False,81,1.0,False,False,REJECT
pine.wavetrend,WaveTrend,pine,1d,1995,1995,1.0,88,0.46365914786967416,0.4418670389893606,0.48559094467477776,0.5112781954887218,-0.05850675263471705,-0.1478497506281597,0.020432684019702285,0.18288171182881713,-19.606965543854756,True,False,81,1.0,False,False,REJECT
reference.incumbent,Ultimate consensus,reference,1w,1995,371,0.18596491228070175,88,0.5336927223719676,0.4828436179264086,0.5838512206400686,0.49056603773584906,0.03274711399711399,-0.06563999368686867,0.1344341856060606,0.5326467353264673,126.60908858527827,True,True,81,,False,False,REFERENCE
rule.moving_average_crossover,Moving average crossover,rule,1w,1995,1995,1.0,88,0.5293233082706766,0.5073847920237775,0.5511491108127453,0.5117794486215539,0.01389961487787575,-0.0572953068834986,0.07892868639101347,0.6934306569343066,74.75535169447306,True,False,81,1.0,False,False,REJECT
pine.supertrend,Supertrend,pine,1w,1995,1995,1.0,88,0.5238095238095238,0.5018687675790533,0.5456587603651321,0.5117794486215539,0.012717029347464126,-0.06357702820894519,0.08137868616067724,0.7411258874112588,40.49709343056441,True,False,81,1.0,False,False,REJECT
technical.obv,Volume trend,technical,1w,1995,1995,1.0,88,0.5263157894736842,0.5043757202126303,0.5481547054098902,0.5117794486215539,0.012293418044406186,-0.057827064980474054,0.07988454233513521,0.7304269573042695,63.22624455748159,True,False,81,1.0,False,False,REJECT
technical.trend_slope,EMA 50 slope,technical,1w,1995,1995,1.0,88,0.5177944862155388,0.49585433092740205,0.5396662425887785,0.5117794486215539,0.0035926482937352535,-0.06812690243304123,0.07269009882985915,0.9186081391860814,56.32451629648744,True,False,81,1.0,False,False,REJECT
technical.donchian,Donchian position,technical,1w,1995,1994,0.9994987468671679,88,0.5155466399197592,0.4936020261829785,0.5374314651608797,0.5115346038114343,0.0006220804886812769,-0.07790993579049406,0.06814354189947068,0.9861013898610139,66.71678762455917,True,False,81,1.0,False,False,REJECT
technical.trend_ma,EMA 12/48 spread,technical,1w,1995,1995,1.0,88,0.5157894736842106,0.49385022386710664,0.5376680315064059,0.5117794486215539,3.0850243300835483e-05,-0.06931105217246518,0.06810254723866381,0.9996000399960004,56.55569894007163,True,False,81,1.0,False,False,REJECT
reference.always_buy,Always BUY,reference,1w,1995,1995,1.0,88,0.5117794486215539,0.4898430666026072,0.5336705524855688,0.5117794486215539,0.0,0.0,0.0,1.0,,True,True,81,,False,False,REFERENCE
pine.mavilim,MavilimW,pine,1w,1995,1995,1.0,88,0.512781954887218,0.49084472385017924,0.5346700543093307,0.5117794486215539,-0.00038958159758555673,-0.07055351135606817,0.07139998750837431,0.9929007099290071,31.767306659930764,True,False,81,1.0,False,False,REJECT
pine.squeeze,Squeeze Momentum,pine,1w,1995,1995,1.0,88,0.5107769423558898,0.48884149737820315,0.5326709626386388,0.5117794486215539,-0.0011344469101386132,-0.07017316017316015,0.05897028831675568,0.9756024397560243,29.362088644537415,True,False,81,1.0,False,False,REJECT
technical.macd,MACD histogram,technical,1w,1995,1995,1.0,88,0.5117794486215539,0.4898430666026072,0.5336705524855688,0.5117794486215539,-0.0024885588719580757,-0.0833304220894389,0.06739434116608027,0.946005399460054,65.55504764790655,True,False,81,1.0,False,False,REJECT
neural.lstm,LSTM projection,neural,1w,1995,1995,1.0,88,0.5017543859649123,0.4798313337837917,0.5236706945910431,0.5117794486215539,-0.002808157751339573,-0.05149862779266188,0.0462811170836739,0.9101089891010898,-1.558840428002254,True,False,81,1.0,False,False,REJECT
technical.rsi,RSI 14,technical,1w,1995,1995,1.0,88,0.5072681704260652,0.48533669811265345,0.5291717051545191,0.5117794486215539,-0.006944275257022292,-0.08788647462961938,0.059952645222037484,0.8617138286171383,33.25841348762145,True,False,81,1.0,False,False,REJECT
pine.hl_ott,HL Optimized Trend Tracker,pine,1w,1995,1995,1.0,88,0.5037593984962406,0.4818329765881519,0.5256713699293512,0.5117794486215539,-0.008027963472627502,-0.08285935120544803,0.057645992882282365,0.8245175482451755,-1.3790273105496968,True,False,81,1.0,False,False,REJECT
neural.gru,GRU projection,neural,1w,1995,1995,1.0,88,0.49774436090225566,0.47582910359178876,0.5196682884977096,0.5117794486215539,-0.011622145969972063,-0.07602728299368618,0.05338627837083857,0.7383261673832616,44.04958124165054,True,False,81,1.0,False,False,REJECT
