Candidate,Label,Family,Horizon,Cells,Calls,Coverage,Independent cutoffs,Accuracy,CI low,CI high,Baseline accuracy,Advantage,Adv CI low,Adv CI high,p,BUY-SELL bp,Resolved,Reference,Family size,p Holm,Holm reject,Beats baseline,Verdict
reference.always_buy,Always BUY,reference,1d,1087,1087,1.0,53,0.5455381784728611,0.515828799834668,0.5749268149126978,0.5455381784728611,0.0,0.0,0.0,1.0,,True,True,81,,False,False,REFERENCE
reference.incumbent,Ultimate consensus,reference,1d,1087,238,0.21895124195032198,53,0.6050420168067226,0.5417397829841784,0.665007112504439,0.6176470588235294,-0.006049715483677745,-0.09265704552261153,0.08004005690326445,0.8915108489151085,5.31868786452293,True,True,81,,False,False,REFERENCE
technical.trend_ma,EMA 12/48 spread,technical,1d,1087,1087,1.0,53,0.5390984360625575,0.5093793891257856,0.5685420982835687,0.5455381784728611,-0.01833670704466439,-0.10771818590214816,0.07631302359112031,0.6991300869913009,4.6882752542487465,True,False,81,1.0,False,False,REJECT
pine.mavilim,MavilimW,pine,1d,1087,1087,1.0,53,0.5335786568537259,0.5038552631928706,0.5630655436410457,0.5455381784728611,-0.020366029923043868,-0.1039248159551687,0.061419515677103804,0.6320367963203679,15.84685521879564,True,False,81,1.0,False,False,REJECT
technical.trend_slope,EMA 50 slope,technical,1d,1087,1087,1.0,53,0.5326586936522539,0.5029349284738482,0.5621524315974948,0.5455381784728611,-0.021326578808121062,-0.10826417313886551,0.06445866227018811,0.6325367463253675,1.26180642856319,True,False,81,1.0,False,False,REJECT
pine.squeeze,Squeeze Momentum,pine,1d,1087,1087,1.0,53,0.5363385464581417,0.5066168721469149,0.5658042749747205,0.5455381784728611,-0.024870840125146936,-0.10976033998132025,0.05697184105202972,0.5704429557044296,6.1661006065590565,True,False,81,1.0,False,False,REJECT
technical.adx,ADX direction,technical,1d,1087,675,0.6209751609935602,53,0.5407407407407407,0.5030212117591769,0.5779991617712609,0.5362962962962963,-0.025845577743322933,-0.15568023701055717,0.10016522945262568,0.6947305269473053,34.287211925453974,True,False,81,1.0,False,False,REJECT
technical.obv,Volume trend,technical,1d,1087,1087,1.0,53,0.5289788408463661,0.49925459661647764,0.5584989764045734,0.5455381784728611,-0.02719617953826322,-0.12009260393694354,0.07397979368867386,0.5902409759024098,12.21770643488621,True,False,81,1.0,False,False,REJECT
pine.supertrend,Supertrend,pine,1d,1087,1087,1.0,53,0.531738730450782,0.5020146944919999,0.5612392188167703,0.5455381784728611,-0.028452443099694944,-0.11794596912521439,0.06869289860399364,0.5522447755224478,18.177077124068678,True,False,81,1.0,False,False,REJECT
rule.moving_average_crossover,Moving average crossover,rule,1d,1087,1087,1.0,53,0.5252989880404784,0.495575874382041,0.5548439115887177,0.5455381784728611,-0.03432367741637636,-0.129466194524644,0.06809198690289747,0.49975002499750026,19.24546072004332,True,False,81,1.0,False,False,REJECT
