candidate,horizon,symbol,cutoff_at,matured_at,call,directional_correct,realised_return
ht2.vwap_reversion,1d,AAOI,2018-09-05 00:00:00+00:00,2018-09-06 00:00:00+00:00,0.0,,-0.058686082380531523
ht2.vwap_reversion,1w,AAOI,2018-09-05 00:00:00+00:00,2018-09-12 00:00:00+00:00,0.0,,-0.017226281827383616
ht2.vwap_reversion,5w,AAOI,2018-09-05 00:00:00+00:00,2018-10-10 00:00:00+00:00,0.0,,-0.3775182570854243
ht2.vwap_reversion,1d,AAOI,2018-10-10 00:00:00+00:00,2018-10-11 00:00:00+00:00,0.0,,0.032833056893025736
ht2.vwap_reversion,1w,AAOI,2018-10-10 00:00:00+00:00,2018-10-17 00:00:00+00:00,0.0,,0.08583489446063752
ht2.vwap_reversion,5w,AAOI,2018-10-10 00:00:00+00:00,2018-11-14 00:00:00+00:00,0.0,,-0.053001837567611565
ht2.vwap_reversion,1d,AAOI,2018-11-14 00:00:00+00:00,2018-11-15 00:00:00+00:00,0.0,,0.05695887013922518
ht2.vwap_reversion,1w,AAOI,2018-11-14 00:00:00+00:00,2018-11-21 00:00:00+00:00,0.0,,0.0034670476955234175
ht2.vwap_reversion,5w,AAOI,2018-11-14 00:00:00+00:00,2018-12-21 00:00:00+00:00,0.0,,-0.2803368326582667
ht2.vwap_reversion,1d,AAOI,2018-12-21 00:00:00+00:00,2018-12-24 00:00:00+00:00,0.0,,-0.047487927946589514
ht2.vwap_reversion,1w,AAOI,2018-12-21 00:00:00+00:00,2018-12-31 00:00:00+00:00,0.0,,0.061940852632111465
ht2.vwap_reversion,5w,AAOI,2018-12-21 00:00:00+00:00,2019-01-30 00:00:00+00:00,0.0,,0.19201651845333578
ht2.vwap_reversion,1d,AAOI,2019-01-30 00:00:00+00:00,2019-01-31 00:00:00+00:00,0.0,,0.0034641724595592116
ht2.vwap_reversion,1w,AAOI,2019-01-30 00:00:00+00:00,2019-02-06 00:00:00+00:00,0.0,,0.004041552890161837
ht2.vwap_reversion,5w,AAOI,2019-01-30 00:00:00+00:00,2019-03-07 00:00:00+00:00,0.0,,-0.24884523913879464
ht2.vwap_reversion,1d,AAOI,2019-03-07 00:00:00+00:00,2019-03-08 00:00:00+00:00,0.0,,-0.009992322225507833
ht2.vwap_reversion,1w,AAOI,2019-03-07 00:00:00+00:00,2019-03-14 00:00:00+00:00,0.0,,0.0637970721832486
ht2.vwap_reversion,5w,AAOI,2019-03-07 00:00:00+00:00,2019-04-11 00:00:00+00:00,0.0,,-0.04919295404022905
ht2.vwap_reversion,1d,AAOI,2019-04-11 00:00:00+00:00,2019-04-12 00:00:00+00:00,0.0,,0.05820535761438017
ht2.vwap_reversion,1w,AAOI,2019-04-11 00:00:00+00:00,2019-04-18 00:00:00+00:00,0.0,,0.01778498537301032
ht2.vwap_reversion,5w,AAOI,2019-04-11 00:00:00+00:00,2019-05-17 00:00:00+00:00,0.0,,-0.25869036692561853
ht2.vwap_reversion,1d,AAOI,2019-05-17 00:00:00+00:00,2019-05-20 00:00:00+00:00,0.0,,0.01090516691796406
ht2.vwap_reversion,1w,AAOI,2019-05-17 00:00:00+00:00,2019-05-24 00:00:00+00:00,0.0,,-0.015267212885273329
ht2.vwap_reversion,5w,AAOI,2019-05-17 00:00:00+00:00,2019-06-24 00:00:00+00:00,0.0,,-0.006543120950654013
ht2.vwap_reversion,1d,AAOI,2019-06-24 00:00:00+00:00,2019-06-25 00:00:00+00:00,0.0,,-0.0010976153221025076
ht2.vwap_reversion,1w,AAOI,2019-06-24 00:00:00+00:00,2019-07-01 00:00:00+00:00,0.0,,0.11745342358100608
ht2.vwap_reversion,5w,AAOI,2019-06-24 00:00:00+00:00,2019-07-30 00:00:00+00:00,0.0,,0.04061469807936691
ht2.vwap_reversion,1d,AAOI,2019-07-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,0.0,,0.05590724812635184
ht2.vwap_reversion,1w,AAOI,2019-07-30 00:00:00+00:00,2019-08-06 00:00:00+00:00,0.0,,0.06751058799859155
ht2.vwap_reversion,5w,AAOI,2019-07-30 00:00:00+00:00,2019-09-04 00:00:00+00:00,0.0,,-0.04008430159448706
ht2.vwap_reversion,1d,AAOI,2019-09-04 00:00:00+00:00,2019-09-05 00:00:00+00:00,0.0,,0.0758241265339219
ht2.vwap_reversion,1w,AAOI,2019-09-04 00:00:00+00:00,2019-09-11 00:00:00+00:00,0.0,,0.26813181078012427
ht2.vwap_reversion,5w,AAOI,2019-09-04 00:00:00+00:00,2019-10-09 00:00:00+00:00,0.0,,0.14175823162379686
ht2.vwap_reversion,1d,AAOI,2019-10-09 00:00:00+00:00,2019-10-10 00:00:00+00:00,0.0,,-0.022136716873013107
ht2.vwap_reversion,1w,AAOI,2019-10-09 00:00:00+00:00,2019-10-16 00:00:00+00:00,0.0,,0.04331085605346807
ht2.vwap_reversion,5w,AAOI,2019-10-09 00:00:00+00:00,2019-11-13 00:00:00+00:00,0.0,,0.09143404984347892
ht2.vwap_reversion,1d,AAOI,2019-11-13 00:00:00+00:00,2019-11-14 00:00:00+00:00,0.0,,-0.038800752040308084
ht2.vwap_reversion,1w,AAOI,2019-11-13 00:00:00+00:00,2019-11-20 00:00:00+00:00,0.0,,-0.09347446255323
ht2.vwap_reversion,5w,AAOI,2019-11-13 00:00:00+00:00,2019-12-19 00:00:00+00:00,0.0,,-0.003527333449276804
ht2.vwap_reversion,1d,AAOI,2019-12-19 00:00:00+00:00,2019-12-20 00:00:00+00:00,0.0,,-0.015929230277656803
ht2.vwap_reversion,1w,AAOI,2019-12-19 00:00:00+00:00,2019-12-27 00:00:00+00:00,0.0,,0.019469049850918685
ht2.vwap_reversion,5w,AAOI,2019-12-19 00:00:00+00:00,2020-01-28 00:00:00+00:00,0.0,,0.14513268689969694
ht2.vwap_reversion,1d,AAOI,2020-01-28 00:00:00+00:00,2020-01-29 00:00:00+00:00,0.0,,-0.07805249675113235
ht2.vwap_reversion,1w,AAOI,2020-01-28 00:00:00+00:00,2020-02-04 00:00:00+00:00,0.0,,-0.041731064865848544
ht2.vwap_reversion,5w,AAOI,2020-01-28 00:00:00+00:00,2020-03-04 00:00:00+00:00,0.0,,-0.2751158872786401
ht2.vwap_reversion,1d,AAOI,2020-03-04 00:00:00+00:00,2020-03-05 00:00:00+00:00,0.0,,-0.03624735057992645
ht2.vwap_reversion,1w,AAOI,2020-03-04 00:00:00+00:00,2020-03-11 00:00:00+00:00,0.0,,-0.24946696418322623
ht2.vwap_reversion,5w,AAOI,2020-03-04 00:00:00+00:00,2020-04-08 00:00:00+00:00,0.0,,-0.14605542311773623
ht2.vwap_reversion,1d,AAOI,2020-04-08 00:00:00+00:00,2020-04-09 00:00:00+00:00,0.0,,-0.031210985375327405
ht2.vwap_reversion,1w,AAOI,2020-04-08 00:00:00+00:00,2020-04-16 00:00:00+00:00,0.0,,0.07240947654592267
ht2.vwap_reversion,5w,AAOI,2020-04-08 00:00:00+00:00,2020-05-14 00:00:00+00:00,0.0,,0.06117350276113109
ht2.vwap_reversion,1d,AAOI,2020-05-14 00:00:00+00:00,2020-05-15 00:00:00+00:00,0.0,,-0.04117651546702661
ht2.vwap_reversion,1w,AAOI,2020-05-14 00:00:00+00:00,2020-05-21 00:00:00+00:00,0.0,,0.018823511460248188
ht2.vwap_reversion,5w,AAOI,2020-05-14 00:00:00+00:00,2020-06-19 00:00:00+00:00,0.0,,0.1529411989099838
ht2.vwap_reversion,1d,AAOI,2020-06-19 00:00:00+00:00,2020-06-22 00:00:00+00:00,0.0,,0.014285651726904769
ht2.vwap_reversion,1w,AAOI,2020-06-19 00:00:00+00:00,2020-06-26 00:00:00+00:00,0.0,,-0.04999997567157399
ht2.vwap_reversion,5w,AAOI,2020-06-19 00:00:00+00:00,2020-07-27 00:00:00+00:00,0.0,,0.42551020358513414
ht2.vwap_reversion,1d,AAOI,2020-07-27 00:00:00+00:00,2020-07-28 00:00:00+00:00,0.0,,-0.05225486628182463
ht2.vwap_reversion,1w,AAOI,2020-07-27 00:00:00+00:00,2020-08-03 00:00:00+00:00,0.0,,0.14960623900962045
ht2.vwap_reversion,5w,AAOI,2020-07-27 00:00:00+00:00,2020-08-31 00:00:00+00:00,0.0,,-0.16750179726987013
ht2.vwap_reversion,1d,AAOI,2020-08-31 00:00:00+00:00,2020-09-01 00:00:00+00:00,0.0,,0.0038693100473894404
ht2.vwap_reversion,1w,AAOI,2020-08-31 00:00:00+00:00,2020-09-08 00:00:00+00:00,0.0,,-0.14531388799894773
ht2.vwap_reversion,5w,AAOI,2020-08-31 00:00:00+00:00,2020-10-06 00:00:00+00:00,0.0,,-0.0369733706745069
ht2.vwap_reversion,1d,AAOI,2020-10-06 00:00:00+00:00,2020-10-07 00:00:00+00:00,0.0,,0.024999976583889083
ht2.vwap_reversion,1w,AAOI,2020-10-06 00:00:00+00:00,2020-10-13 00:00:00+00:00,0.0,,0.026785731771771015
ht2.vwap_reversion,5w,AAOI,2020-10-06 00:00:00+00:00,2020-11-10 00:00:00+00:00,0.0,,-0.3392856945188675
ht2.vwap_reversion,1d,AAOI,2020-11-10 00:00:00+00:00,2020-11-11 00:00:00+00:00,0.0,,0.0337837833483956
ht2.vwap_reversion,1w,AAOI,2020-11-10 00:00:00+00:00,2020-11-17 00:00:00+00:00,0.0,,0.010810800361494177
ht2.vwap_reversion,5w,AAOI,2020-11-10 00:00:00+00:00,2020-12-16 00:00:00+00:00,0.0,,0.1243242685946353
ht2.vwap_reversion,1d,AAOI,2020-12-16 00:00:00+00:00,2020-12-17 00:00:00+00:00,0.0,,0.021634652857951187
ht2.vwap_reversion,1w,AAOI,2020-12-16 00:00:00+00:00,2020-12-23 00:00:00+00:00,0.0,,0.08173080890841877
ht2.vwap_reversion,5w,AAOI,2020-12-16 00:00:00+00:00,2021-01-25 00:00:00+00:00,0.0,,0.3161057945803787
ht2.vwap_reversion,1d,AAOI,2021-01-25 00:00:00+00:00,2021-01-26 00:00:00+00:00,0.0,,0.01735164724814431
ht2.vwap_reversion,1w,AAOI,2021-01-25 00:00:00+00:00,2021-02-01 00:00:00+00:00,0.0,,0.004566227543908896
ht2.vwap_reversion,5w,AAOI,2021-01-25 00:00:00+00:00,2021-03-02 00:00:00+00:00,0.0,,-0.21232875340307145
ht2.vwap_reversion,1d,AAOI,2021-03-02 00:00:00+00:00,2021-03-03 00:00:00+00:00,0.0,,-0.03072467748669605
ht2.vwap_reversion,1w,AAOI,2021-03-02 00:00:00+00:00,2021-03-09 00:00:00+00:00,0.0,,-0.020289877186650762
ht2.vwap_reversion,5w,AAOI,2021-03-02 00:00:00+00:00,2021-04-07 00:00:00+00:00,0.0,,-0.016811647276947506
ht2.vwap_reversion,1d,AAOI,2021-04-07 00:00:00+00:00,2021-04-08 00:00:00+00:00,0.0,,-0.008254681439022638
ht2.vwap_reversion,1w,AAOI,2021-04-07 00:00:00+00:00,2021-04-14 00:00:00+00:00,0.0,,-0.02240561210374714
ht2.vwap_reversion,5w,AAOI,2021-04-07 00:00:00+00:00,2021-05-12 00:00:00+00:00,0.0,,-0.15919805432435097
ht2.vwap_reversion,1d,AAOI,2021-05-12 00:00:00+00:00,2021-05-13 00:00:00+00:00,0.0,,0.005610092736466177
ht2.vwap_reversion,1w,AAOI,2021-05-12 00:00:00+00:00,2021-05-19 00:00:00+00:00,0.0,,0.09116410728394486
ht2.vwap_reversion,5w,AAOI,2021-05-12 00:00:00+00:00,2021-06-17 00:00:00+00:00,0.0,,0.20897612162731338
ht2.vwap_reversion,1d,AAOI,2021-06-17 00:00:00+00:00,2021-06-18 00:00:00+00:00,0.0,,-0.044083540543605415
ht2.vwap_reversion,1w,AAOI,2021-06-17 00:00:00+00:00,2021-06-24 00:00:00+00:00,0.0,,-0.02552207307999743
ht2.vwap_reversion,5w,AAOI,2021-06-17 00:00:00+00:00,2021-07-23 00:00:00+00:00,0.0,,-0.1496519697191805
ht2.vwap_reversion,1d,AAOI,2021-07-23 00:00:00+00:00,2021-07-26 00:00:00+00:00,0.0,,0.002728510386723393
ht2.vwap_reversion,1w,AAOI,2021-07-23 00:00:00+00:00,2021-07-30 00:00:00+00:00,0.0,,0.05457027278728699
ht2.vwap_reversion,5w,AAOI,2021-07-23 00:00:00+00:00,2021-08-27 00:00:00+00:00,0.0,,-0.0040927330536756346
ht2.vwap_reversion,1d,AAOI,2021-08-27 00:00:00+00:00,2021-08-30 00:00:00+00:00,-1.0,1.0,-0.0027397233430072054
ht2.vwap_reversion,1w,AAOI,2021-08-27 00:00:00+00:00,2021-09-03 00:00:00+00:00,-1.0,0.0,0.05753419020315231
ht2.vwap_reversion,5w,AAOI,2021-08-27 00:00:00+00:00,2021-10-04 00:00:00+00:00,-1.0,1.0,-0.06712331988391307
ht2.vwap_reversion,1d,AAOI,2021-10-04 00:00:00+00:00,2021-10-05 00:00:00+00:00,0.0,,0.008810564358837869
ht2.vwap_reversion,1w,AAOI,2021-10-04 00:00:00+00:00,2021-10-11 00:00:00+00:00,0.0,,0.0
ht2.vwap_reversion,5w,AAOI,2021-10-04 00:00:00+00:00,2021-11-08 00:00:00+00:00,0.0,,-0.14096916978168772
ht2.vwap_reversion,1d,AAOI,2021-11-08 00:00:00+00:00,2021-11-09 00:00:00+00:00,0.0,,-0.017094001070560583
ht2.vwap_reversion,1w,AAOI,2021-11-08 00:00:00+00:00,2021-11-15 00:00:00+00:00,0.0,,0.0324786427893784
ht2.vwap_reversion,5w,AAOI,2021-11-08 00:00:00+00:00,2021-12-14 00:00:00+00:00,0.0,,-0.0410256025693454
ht2.vwap_reversion,1d,AAOI,2021-12-14 00:00:00+00:00,2021-12-15 00:00:00+00:00,0.0,,0.023172840376087578
ht2.vwap_reversion,1w,AAOI,2021-12-14 00:00:00+00:00,2021-12-21 00:00:00+00:00,0.0,,-0.024955497324569587
ht2.vwap_reversion,5w,AAOI,2021-12-14 00:00:00+00:00,2022-01-20 00:00:00+00:00,0.0,,-0.2905525981547168
ht2.vwap_reversion,1d,AAOI,2022-01-20 00:00:00+00:00,2022-01-21 00:00:00+00:00,0.0,,-0.030150784774517714
ht2.vwap_reversion,1w,AAOI,2022-01-20 00:00:00+00:00,2022-01-27 00:00:00+00:00,0.0,,-0.052763828427282
ht2.vwap_reversion,5w,AAOI,2022-01-20 00:00:00+00:00,2022-02-25 00:00:00+00:00,0.0,,-0.13316582131905375
ht2.vwap_reversion,1d,AAOI,2022-02-25 00:00:00+00:00,2022-02-28 00:00:00+00:00,0.0,,0.05217393167227691
ht2.vwap_reversion,1w,AAOI,2022-02-25 00:00:00+00:00,2022-03-04 00:00:00+00:00,0.0,,-0.011594191681209676
ht2.vwap_reversion,5w,AAOI,2022-02-25 00:00:00+00:00,2022-04-01 00:00:00+00:00,0.0,,-0.04057973999106723
ht2.vwap_reversion,1d,AAOI,2022-04-01 00:00:00+00:00,2022-04-04 00:00:00+00:00,0.0,,0.030211524102678133
ht2.vwap_reversion,1w,AAOI,2022-04-01 00:00:00+00:00,2022-04-08 00:00:00+00:00,0.0,,-0.06344412138286237
ht2.vwap_reversion,5w,AAOI,2022-04-01 00:00:00+00:00,2022-05-09 00:00:00+00:00,0.0,,-0.3323262609209757
ht2.vwap_reversion,1d,AAOI,2022-05-09 00:00:00+00:00,2022-05-10 00:00:00+00:00,1.0,1.0,0.031674177391187275
ht2.vwap_reversion,1w,AAOI,2022-05-09 00:00:00+00:00,2022-05-16 00:00:00+00:00,1.0,1.0,0.054298589813463805
ht2.vwap_reversion,5w,AAOI,2022-05-09 00:00:00+00:00,2022-06-14 00:00:00+00:00,1.0,0.0,-0.12217193496200196
ht2.vwap_reversion,1d,AAOI,2022-06-14 00:00:00+00:00,2022-06-15 00:00:00+00:00,0.0,,0.020618536429497514
ht2.vwap_reversion,1w,AAOI,2022-06-14 00:00:00+00:00,2022-06-22 00:00:00+00:00,0.0,,0.020618536429497514
ht2.vwap_reversion,5w,AAOI,2022-06-14 00:00:00+00:00,2022-07-21 00:00:00+00:00,0.0,,-0.06185567073657783
ht2.vwap_reversion,1d,AAOI,2022-07-21 00:00:00+00:00,2022-07-22 00:00:00+00:00,0.0,,-0.07692313234582226
ht2.vwap_reversion,1w,AAOI,2022-07-21 00:00:00+00:00,2022-07-28 00:00:00+00:00,0.0,,-0.06043956655765592
ht2.vwap_reversion,5w,AAOI,2022-07-21 00:00:00+00:00,2022-08-25 00:00:00+00:00,0.0,,0.5164834675387542
ht2.vwap_reversion,1d,AAOI,2022-08-25 00:00:00+00:00,2022-08-26 00:00:00+00:00,0.0,,-0.07246378564303779
ht2.vwap_reversion,1w,AAOI,2022-08-25 00:00:00+00:00,2022-09-01 00:00:00+00:00,0.0,,-0.21014490061962054
ht2.vwap_reversion,5w,AAOI,2022-08-25 00:00:00+00:00,2022-09-30 00:00:00+00:00,0.0,,-0.014492739851899028
ht2.vwap_reversion,1d,AAOI,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,1.0,1.0,0.01102940113022699
ht2.vwap_reversion,1w,AAOI,2022-09-30 00:00:00+00:00,2022-10-07 00:00:00+00:00,1.0,1.0,0.022058802260453758
ht2.vwap_reversion,5w,AAOI,2022-09-30 00:00:00+00:00,2022-11-04 00:00:00+00:00,1.0,0.0,-0.2352941537398363
ht2.vwap_reversion,1d,AAOI,2022-11-04 00:00:00+00:00,2022-11-07 00:00:00+00:00,1.0,1.0,0.03846161781683777
ht2.vwap_reversion,1w,AAOI,2022-11-04 00:00:00+00:00,2022-11-11 00:00:00+00:00,1.0,1.0,0.1201923121009354
ht2.vwap_reversion,5w,AAOI,2022-11-04 00:00:00+00:00,2022-12-12 00:00:00+00:00,1.0,1.0,0.033653929917773384
ht2.vwap_reversion,1d,AAOI,2022-12-12 00:00:00+00:00,2022-12-13 00:00:00+00:00,0.0,,-0.004651158148692214
ht2.vwap_reversion,1w,AAOI,2022-12-12 00:00:00+00:00,2022-12-19 00:00:00+00:00,0.0,,-0.009302316297384206
ht2.vwap_reversion,5w,AAOI,2022-12-12 00:00:00+00:00,2023-01-19 00:00:00+00:00,0.0,,0.0651162140816881
ht2.vwap_reversion,1d,AAOI,2023-01-19 00:00:00+00:00,2023-01-20 00:00:00+00:00,0.0,,-0.03493446508240139
ht2.vwap_reversion,1w,AAOI,2023-01-19 00:00:00+00:00,2023-01-26 00:00:00+00:00,0.0,,-0.03930127321770149
ht2.vwap_reversion,5w,AAOI,2023-01-19 00:00:00+00:00,2023-02-24 00:00:00+00:00,0.0,,0.13973796444252296
ht2.vwap_reversion,1d,AAOI,2023-02-24 00:00:00+00:00,2023-02-27 00:00:00+00:00,0.0,,-0.007662828249186293
ht2.vwap_reversion,1w,AAOI,2023-02-24 00:00:00+00:00,2023-03-03 00:00:00+00:00,0.0,,0.045977060843236384
ht2.vwap_reversion,5w,AAOI,2023-02-24 00:00:00+00:00,2023-03-31 00:00:00+00:00,0.0,,-0.15325665633184504
ht2.vwap_reversion,1d,AAOI,2023-03-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,0.0,,0.03619905987564276
ht2.vwap_reversion,1w,AAOI,2023-03-31 00:00:00+00:00,2023-04-10 00:00:00+00:00,0.0,,0.0045248824844550395
ht2.vwap_reversion,5w,AAOI,2023-03-31 00:00:00+00:00,2023-05-08 00:00:00+00:00,0.0,,-0.19909504507945053
ht2.vwap_reversion,1d,AAOI,2023-05-08 00:00:00+00:00,2023-05-09 00:00:00+00:00,0.0,,0.01694913656104502
ht2.vwap_reversion,1w,AAOI,2023-05-08 00:00:00+00:00,2023-05-15 00:00:00+00:00,0.0,,-0.0734463257810768
ht2.vwap_reversion,5w,AAOI,2023-05-08 00:00:00+00:00,2023-06-13 00:00:00+00:00,0.0,,1.0564972565699136
ht2.vwap_reversion,1d,AAOI,2023-06-13 00:00:00+00:00,2023-06-14 00:00:00+00:00,0.0,,0.03296700057711699
ht2.vwap_reversion,1w,AAOI,2023-06-13 00:00:00+00:00,2023-06-21 00:00:00+00:00,0.0,,0.14423072577429874
ht2.vwap_reversion,5w,AAOI,2023-06-13 00:00:00+00:00,2023-07-20 00:00:00+00:00,0.0,,1.2307691350390346
ht2.vwap_reversion,1d,AAOI,2023-07-20 00:00:00+00:00,2023-07-21 00:00:00+00:00,0.0,,-0.02586207402791285
ht2.vwap_reversion,1w,AAOI,2023-07-20 00:00:00+00:00,2023-07-27 00:00:00+00:00,0.0,,-0.2376847112733349
ht2.vwap_reversion,5w,AAOI,2023-07-20 00:00:00+00:00,2023-08-24 00:00:00+00:00,0.0,,0.7352217181241696
ht2.vwap_reversion,1d,AAOI,2023-08-24 00:00:00+00:00,2023-08-25 00:00:00+00:00,0.0,,-0.07806957910271495
ht2.vwap_reversion,1w,AAOI,2023-08-24 00:00:00+00:00,2023-08-31 00:00:00+00:00,0.0,,-0.022711120749380864
